S1_RP1Tank_pos_x,S1_RP1Tank_pos_y,S1_RP1Tank_pos_z,S1_RP1Tank_rot_e0,S1_RP1Tank_rot_e1,S1_RP1Tank_rot_e2,S1_RP1Tank_rot_e3
-0.0003484688001609248216,2.955719943914790981,-0.0001501655602056431145,0.9999999979950116025,-2.506945541788679926e-05,4.898482078746648063e-09,5.815066624975140407e-05,
-0.0006969376122550328175,2.813440000108947459,-0.0003003311286504837477,0.9999999919800457437,-5.013891111854327614e-05,9.796964111418968738e-09,0.0001163013321010765211,
-0.001045406449340557844,2.573160168582479201,-0.0004504967109640860973,0.9999999819551020908,-7.520836700144169023e-05,1.46954460519426396e-08,0.0001744519973207930353,
-0.001393875324475733323,2.234880449335374664,-0.0006006623127760111081,0.9999999679201809766,-0.0001002778229660542469,1.959392785424331507e-08,0.0002326026616757184955,
-0.001742344250718790184,1.798600842367623187,-0.0007508279397158194,0.9999999498752825122,-0.0001253472789118532937,2.449240947224666279e-08,0.0002907533249326706539,
-0.002090813241127960874,1.264321347679222995,-0.0009009935974130731107,0.9999999278204065867,-0.0001504167347383110497,2.939089085987834379e-08,0.0003489039868584671404,
-0.002439282308761476538,0.6320419652701589897,-0.001051159291497333077,0.999999901755553422,-0.0001754861903448996796,3.428937197106404062e-08,0.0004070546472199255581,
-0.002916873413226985998,0.0001723552014318840975,-0.001293402501512101949,0.9999999999356846692,-2.016543501935298251e-06,2.855725744286654831e-07,1.115750650941835646e-05,
-0.0008917134685714148828,0.000816549985112935417,-0.00079841710382614825,0.9999995678912402264,0.0003865016979177279279,8.164284006758236662e-05,-0.0008415273162176383458,
0.002401854046210827841,0.0002901099323482370096,0.001526089158603601394,0.9999999313225439446,0.0001250035913532477239,-7.733842280597729238e-05,-0.0003402172617301110259,
0.002428312955432593463,0.0004439992123872471552,0.001568836309340473044,0.9999999712956538778,-2.970904356121639787e-05,-7.65896505709417173e-05,0.0002250779767733404743,
0.0023200323295294689,6.613421232781746539e-05,0.001610904158305671982,0.9999999840303829268,2.95837037541664615e-05,-7.666612127415907798e-05,-0.000158702081548278939,
0.00295224460227915984,1.119967723273163074e-05,0.001647431881218300352,0.9999999969198435368,-4.321546137095841789e-06,-6.40693377474733667e-05,-4.513051863016474385e-05,
0.002794693321933538425,2.519448171600657815e-05,0.001725583468554180849,0.9999999972798038206,2.263045782923622459e-05,-7.019201448801368876e-05,1.158682789572434556e-06,
0.002808985166215066838,2.975077684741478379e-05,0.001720995628194239152,0.999999997511921479,1.093159649916651205e-05,-6.901187215683321117e-05,-9.69670502073060811e-06,
0.002812202821150155442,1.034779813036124096e-05,0.001723408002491608323,0.9999999976216618069,3.513930918970023999e-07,-6.887484709626340578e-05,-3.579854010567524838e-06,
0.002807909124756761705,3.271896018119946348e-06,0.001723097171846809609,0.9999999976129085866,2.452268156218630118e-06,-6.875964399436583344e-05,6.34724009957566208e-06,
0.002808295792737572349,1.687632673608163714e-06,0.001714766215712453055,0.9999999976325781859,4.914657372311028685e-07,-6.880828623269284402e-05,1.697220753686727017e-07,
0.002801242427428706806,4.022116240065543025e-06,0.001723496851960889783,0.999999997655318773,-8.420758566299107409e-06,-6.787002651557628692e-05,3.481492943159399276e-06,
0.002794117186510361017,2.577149018634372624e-07,0.001712928693243513005,0.9999999977658579065,-1.652644837793610451e-07,-6.684506655139417107e-05,4.25052005293352277e-08,
0.002801698183643336684,1.90266680721862258e-06,0.001729810271213359524,0.9999999976805533652,1.076385222629515932e-05,-6.724526389747689347e-05,-1.056032041264170736e-06,
0.002804917450874187465,-7.140988620868427006e-06,0.001778928875794804666,0.9999999974832960437,7.847663913990223988e-06,-7.047411416653831398e-05,-2.286729801675540601e-06,
0.002814775362561811132,-1.066113150649528052e-06,0.001791605144085785554,0.9999999974961950588,5.344938153122855431e-06,-7.056112468049640025e-05,4.209081024197370909e-07,
0.002819263883378894577,2.87707094948075337e-06,0.001818698618474634456,0.9999999973468411962,9.281018877229042292e-06,-7.212591509261375008e-05,-4.247405266975225058e-06,
0.002829371953681838591,2.7121231687132763e-06,0.001841254717968014969,0.999999997379665162,1.988997343167971854e-06,-7.236516446306616088e-05,7.200248756579385992e-08,
0.002828896878346748214,1.438118185514980496e-05,0.001833236069452039846,0.9999999972116256908,6.587176681209734481e-06,-7.193278191329488275e-05,-1.894838117519963522e-05,
0.002733637735251424981,3.882495543905406521e-05,0.001804803395999844467,0.9999999968456503296,-3.767401822616046816e-05,-6.61561206094519723e-05,2.264382954067732307e-05,
0.002671012614782723813,-5.863868872246769115e-06,0.001746402913137790405,0.9999999979506758452,-8.524590768817559645e-06,-6.344057429593132882e-05,-1.13199366028263965e-06,
0.002668513739802747236,-1.753497998358000132e-06,0.001769774699910988758,0.9999999978141984602,4.544811939728845054e-06,-6.59362884602264222e-05,-1.83327559578446323e-06,
0.002677086497681519656,-8.699403188927590236e-07,0.001776850840207706101,0.9999999978736514583,7.510086325602360751e-08,-6.519064164613287769e-05,1.696862805917880556e-06,
0.002668839546413364315,1.240103964583738616e-05,0.001769547447477042186,0.9999999978019152858,-1.477953412237050197e-05,-6.463514538039586636e-05,2.010868498336251179e-07,
0.002672994227986598935,1.034838232794044188e-05,0.001746197860143260984,0.9999999979600560085,-3.574452309727805801e-06,-6.34201933639067135e-05,-6.708059599039538515e-06,
0.002669667481847908929,-1.491344774784408855e-06,0.001723573382442552399,0.9999999979442308895,3.647593276512675359e-06,-6.401675285015998495e-05,-3.114266114987197827e-07,
0.002667513389762327276,5.138555551731371906e-06,0.001723528094968596134,0.9999999979316577248,6.197225344231506139e-06,-6.372459081359036772e-05,6.120743024913568986e-06,
0.00266663610413726479,-2.699391643545823172e-07,0.001724919107136737521,0.999999997963811893,8.177549041600281631e-07,-6.379868464136520848e-05,1.201255401584034238e-06,
0.002652817998731763979,4.526281482952754232e-07,0.00172736225759010883,0.9999999979518887638,-1.060346264614039319e-06,-6.372193310479381254e-05,5.883942542294649789e-06,
0.002652155900307987674,1.726493826126329623e-06,0.001730926914599651041,0.9999999979447201648,3.545953730998102639e-06,-6.401546034787916346e-05,-1.19891304729110677e-07,
0.002657448449324495334,1.202135565314677024e-06,0.001714719431414540342,0.9999999978864595462,-4.726310391304261927e-06,-6.466562208434897732e-05,-4.807042153106017831e-06,
0.002674893032881414407,3.090010647355256879e-07,0.001709944366449326096,0.9999999977413821517,-1.076147717234332108e-05,-6.437334497603173795e-05,-1.604698650467603903e-05,
0.002660517877880165527,5.792173206842221589e-06,0.001693460576799556616,0.999999998068584417,6.10848489519866564e-06,-6.16647055990393047e-05,-4.794619560488598701e-06,
0.002687508762518438926,-2.426631787066924062e-06,0.001710020121366524282,0.9999999980354483675,4.060935932853528161e-07,-6.262138480344963884e-05,-2.739956936302494188e-06,
0.002678607469524340798,-1.103942696012438773e-05,0.001704335977730285154,0.999999997916958705,-6.581690696399945392e-06,-6.257820398600635935e-05,1.437839698017396861e-05,
0.002534019890985695581,-1.706028947445759059e-06,0.001618333408264807606,0.9999999978521503241,-5.500219211209845422e-06,-6.519833383630513856e-05,3.824951092481654114e-06,
0.002484273474394171032,5.321673379299340922e-06,0.001638667045520970358,0.999999997763396653,1.644712710569539711e-06,-6.665162012858019637e-05,5.298077986844132407e-06,
0.002487576383554270833,2.984253249582735634e-05,0.001627123320565800318,0.9999999976231975785,-1.194561589709907659e-05,-6.789159943538165311e-05,1.282166056808197426e-06,
0.002487023481394729733,-6.052234603259876167e-06,0.001613809756450032074,0.9999999973296964662,-2.544957124262793422e-05,-6.848991923744916787e-05,1.436336455834114332e-06,
0.002488147059089611691,1.429098886340796071e-06,0.001587217086674298956,0.9999999975555050602,-9.360766260841174254e-06,-6.929170666305866071e-05,-1.774500569150461811e-07,
0.002491119437947391865,1.501430817896221015e-06,0.001577763160953311481,0.9999999974952843429,-8.555947785485091235e-06,-7.021654196806061956e-05,2.42293804320397968e-06,
0.002477960793734566326,-3.184121037946852084e-07,0.001565351360960779044,0.9999999976547636615,-4.82268001841778158e-07,-6.848537036750999569e-05,2.248254808316469749e-08,
0.002477648163231098172,-5.216575598154804538e-07,0.001565415890296085241,0.9999999976549639458,3.104519352353880824e-07,-6.847513787834148618e-05,-1.066699788797240501e-06,
0.002478969006263187589,5.683882697837816522e-09,0.001566023146761589147,0.9999999976602174101,-4.230091108479100249e-07,-6.840582702483509621e-05,1.870699601635265205e-07,
0.002489161973351881017,1.022582285514772593e-08,0.001572673197544785344,0.9999999976040209182,5.665207115876578583e-07,-6.914641950188299749e-05,-3.227297805408865747e-06,
0.002492881577907856295,-1.112170093797715253e-06,0.001574988493584364825,0.9999999975980534694,-1.550819986679852481e-07,-6.930882867299709182e-05,-3.989723261053302398e-07,
